VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,PUBorough,PUZone,PUservice_zone,DOLocationID,DOservice_zone,DOZone,DOBorough,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,6/8/2019 20:50,6/8/2019 21:06,1,2.74,1,N,262,Manhattan,Yorkville East,Yellow Zone,24,Yellow Zone,Bloomingdale,Manhattan,1,13,0.5,0.5,3.58,0,0.3,17.88
2,6/8/2019 21:06,6/8/2019 21:06,2,2.5,1,N,230,Manhattan,Times Sq/Theatre District,Yellow Zone,50,Yellow Zone,Clinton West,Manhattan,2,18,0.5,0.5,0,0,0.3,19.3
2,6/8/2019 20:55,6/8/2019 21:06,2,1.57,1,N,114,Manhattan,Greenwich Village South,Yellow Zone,68,Yellow Zone,East Chelsea,Manhattan,1,9,0.5,0.5,1.1,0,0.3,11.4
2,6/8/2019 21:01,6/8/2019 21:06,1,1.56,1,N,114,Manhattan,Greenwich Village South,Yellow Zone,68,Yellow Zone,East Chelsea,Manhattan,2,6.5,0.5,0.5,0,0,0.3,7.8
1,6/8/2019 20:05,6/8/2019 20:47,1,17.1,1,N,138,Queens,LaGuardia Airport,Airports,71,Boro Zone,East Flatbush/Farragut,Brooklyn,2,52,0.5,0.5,0,0,0.3,53.3
1,6/8/2019 20:24,6/8/2019 21:06,1,17.1,1,N,138,Queens,LaGuardia Airport,Airports,71,Boro Zone,East Flatbush/Farragut,Brooklyn,2,52,0.5,0.5,0,0,0.3,53.3
1,6/8/2019 20:49,6/8/2019 21:07,1,7.3,1,N,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,74,Boro Zone,East Harlem North,Manhattan,1,22.5,0.5,0.5,2.2,0,0.3,26
2,6/8/2019 20:51,6/8/2019 21:06,2,2.98,1,N,48,Manhattan,Clinton East,Yellow Zone,79,Yellow Zone,East Village,Manhattan,1,12.5,0.5,0.5,2.76,0,0.3,16.56
1,6/8/2019 20:59,6/8/2019 21:06,1,1.1,1,N,170,Manhattan,Murray Hill,Yellow Zone,79,Yellow Zone,East Village,Manhattan,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,6/8/2019 20:16,6/8/2019 20:47,1,6.25,1,N,141,Manhattan,Lenox Hill West,Yellow Zone,82,Boro Zone,Elmhurst,Queens,2,24.5,0.5,0.5,0,0,0.3,25.8
2,6/8/2019 20:35,6/8/2019 21:06,1,6.25,1,N,141,Manhattan,Lenox Hill West,Yellow Zone,82,Boro Zone,Elmhurst,Queens,2,24.5,0.5,0.5,0,0,0.3,25.8
2,6/8/2019 20:57,6/8/2019 21:06,5,2.92,1,N,79,Manhattan,East Village,Yellow Zone,100,Yellow Zone,Garment District,Manhattan,1,11,0.5,0.5,2.46,0,0.3,14.76
2,6/8/2019 20:38,6/8/2019 20:47,2,1.31,1,N,114,Manhattan,Greenwich Village South,Yellow Zone,107,Yellow Zone,Gramercy,Manhattan,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,6/8/2019 20:57,6/8/2019 21:06,2,1.31,1,N,114,Manhattan,Greenwich Village South,Yellow Zone,107,Yellow Zone,Gramercy,Manhattan,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,6/8/2019 21:07,6/8/2019 21:07,2,18.9,2,N,132,Queens,JFK Airport,Airports,113,Yellow Zone,Greenwich Village North,Manhattan,1,52,0,0.5,14,5.76,0.3,72.56
2,6/8/2019 20:58,6/8/2019 21:06,1,2.18,1,N,161,Manhattan,Midtown Center,Yellow Zone,113,Yellow Zone,Greenwich Village North,Manhattan,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,6/8/2019 20:40,6/8/2019 20:47,4,1.45,1,N,231,Manhattan,TriBeCa/Civic Center,Yellow Zone,113,Yellow Zone,Greenwich Village North,Manhattan,2,7,0.5,0.5,0,0,0.3,8.3
